"","text"
"344","      vaccine  youve died  covid  short answer  yes        dead body  act   carrier"
"345"," evidence  covid vaccine caused hank aarons death politifact"
"346"," beg   teachers please procure  vaccine  educators  learners    feb   scared please"
"347","  encouraging    covid infection curve plateauing   time      sign  vaccine distribution  starting    difference  slowing  spread"
"348","  tara vaccine recipients scrambling  schedule nd covid shot  time"
"349","    covid vaccine  statebystate guide covid usa"
"350","  grocery pharmacies      florida  nearly        vaccinated  slated  shot"
"351","            vaccine  trump   doesnt matter  biden  trumps vaccine      beats covid"
"352","     covid vaccine shot   funny guy   informed  versed   trades cnet"
"353","read iatf resolution detailing  testing  quarantine protocols  people   allowed entry  ph postponement  easing  agebased restrictions  ph covid vaccine information management system"
"354","oh   finally    completely forgot   conspiracy theories  people thinking   causing covid amp  vaccine   microchips   injected        amp feels   ago"
"355","   getting random people    covid vaccine      test      tiktok   person getting  vaccine     injected properly oh  godthat  cause real fucking "
"356","    saying  covid vaccine killed hank aaron"
"357","distribution  looks  international travel   somewhat covid normal  looking      future coronavirus europe looks      vaccine fiasco"
"358","unrelated   story  kamala   mother  wasnt   cancer researchers   studying mrna    cancer vaccine    evident        path   covid vaccine"
"359","ur  lab rats  taking  covid vaccine babe   means     dance  top  bars amp hear meg   club  id   times "
"360","president biden    light speed    pandemic  control hes putting  countless hours  manage organize  distribute  vaccine trump  fuckhead didnt   damn  regarding covid    forgive  mf  killing countless ppl"
"361","thank       youngive    excited      president cant   receive  covid vaccine      family  east kennett sq  west chester marthacanton oh"
"362","pharmacist  plead guilty  ruining hundreds  doses  covid vaccine doj "
"363","wait   tyler perry  received  covid vaccine      frontline workers  ages   miss "
"364","   recently approved covid vaccine  australia mean  people living  parkinsons info  advice "
"365"," paramedic    allegedly helped cover   covid vaccine theft buzzfeed news"
"366","modernas covid vaccine     mutant strains    time"
"367","biden administration   million doses  covid vaccine  pfizer  moderna"
"368","  people  saying  people   scared   vaccine  covid  ok       shit   jokes lol"
"369","biden administration  buy million  doses  covid vaccine  politico"
"370","    care homes deaths  tripled    vaccine   covid  care homes  vaccine weeks  deaths triple normally   scientists      ill soon   mathematician     moment   "
"371"," understand completely fauci  funded   pharma fauci funds lab investigating covid lab releases covid world freaks   pharma release vaccine vaccine kills people governments blame covid    vaccine   vaccine  left   rich"
"372"," stab    covid vaccine im sick  getting qtips shoved   nose"
"373","south heartland district health department covid vaccine  positivity update"
"374"," days  slow  spread     treatments      vaccine      vaccine covid  mutated wear masks  power  human hands  liable   abused james madison constitution wethepeople"
"375","biden administration   boost covid vaccine supply president biden takes office npr"
"376"," trudeau government      deal  develop  covid vaccine   chinese firm  days  announcing   kept  truth hidden   public  months"
"377","  youve  covid     vaccine    weeks    booster   youll   wear  masks stay home self quarantine amp social distance    people    shit   bother    ones  believe "
"378","itd  neat   people  actually believe  covid   vaccine   people  didnt believe  covid"
"379"," favorite cousin denied getting  vaccine     causes infertility  sister  currently  covid amp    bigggg indoor wedding  february whyyyyy"
"380","ugur sahin  turkish muslim based  germany ceo  biotech     develop covid vaccine"
"381","    covid vaccinemy anxiety level dropped immensely soon  returning   clinic im feeling  fortunate   seeing patients     masks amp eyewear  march    able  stay healthythank  science  protecting "
"382","pharmacist  plead guilty  ruining hundreds  doses  covid vaccine doj "
"383"," fair  feel    people         recover  covid   ppl  lilke   gonna  access   vaccine soon   process"
"384","mom    covid vaccine wait list   local health department shes  outside  house times   march"
"385","   time  read  people  idiots sometimes anyways heres  article link  yall  "
"386","eu threatens  impose export controls  covid vaccines"
"387","hollywood elite treating covid vaccine   hunger games report"
"388","heres  document  youre      filled    guess  wait"
"389","   modify  doses  children moderna trials  ages   underway    probably  approved vaccine  unfortunately"
"390","   please fucking getting  vaccine    special ed teacher nj mom    pointlessly   school  person  january   uncle  beat cancer    covid    protection wtf "
"391"," announcement   doses   coronavirus vaccine         news  comes  churches  missouri  kansas   stepping   help  vaccinations"
"392","friends mom  health   vaccine   th  diagnosed  covid   th shes doing  thank goodness    hell"
"393","     talking   covid vaccine killing hankaaron hes fine    week     shotthen deadvaccines coronavirusvaccine covid hammerinhank"
"394","please sign period  stop airlines  mandating experimental covid vaccine dr simone gold  aflds  fighting  battle    help  fightback maga"
"395","california covid vaccine distribution  age plan  questions answered"
"396"," day  pray  tn    step closer  phase      covid vaccine"
"397","  moderna covid vaccine doses     six weeks apart"
"398","harris receives  dose  covid vaccine"
"399","biotech executive charged  administering unproven covid vaccine"
"400","verandah retirement community receives  round  covid vaccine kplc"
"401","read iatf resolution detailing  testing  quarantine protocols  people   allowed entry  ph postponement  easing  agebased restrictions  ph covid vaccine information management system"
"402","covid vaccine   virus    retreat   wait   via"
"403","nj resident  phase  eligible   covid vaccine try        shot pardon     total  complete clusterfuxk  countrys health infrastructure "
"404","considering  seriousness  covid        national social responsibilityjai hind thank  pm   entire immunology team  bring   vaccine  stupendous  noble effort  team deserves nobel prize   humanitarian service"
"405","flight attendants  essential workers amp     frontlines   covid crisis  day  weve played  key role  keeping  country amp economy moving tell  governors  prioritize flight attendants  covid vaccine distribution"
"406","   class  humility  taking responsibility     mishaps due   covid response amp msm blames  else   reason  vaccine procurement   dud    fault   killed biz  economy  lives"
"407","joanne chianello  public    wait  august  covid vaccine city  eventually  capacity  inoculate people  day  rollout depends  vaccine supply"
"408","jail time absolutely       required  reimburse taxpayers  retail cost   vial  destroyed pharmacist pleads guilty  federal charges  intentionally sabotaging covid vaccine abc news"
"409","false rumors  covid vaccines  scaring women"
"410","   live   country   covid vaccine isnt available   olympics  priority     vulnerable  nurses medical doctorsolympic participants  seek vaccination    available    public"
"411","  rule applies   covid vaccine success   achieved    access   vaccine      afford   cooperative spirit      "
"412","    covid vaccine      tour       line  tickets"
"413","south koreas waiting game   covid vaccine abc news via"
"414","news monica robins tackles  toughest covid vaccination questions via"
"415","reinstating  fairness doctrine    disaster imagine anytime  nightly news talks   covid vaccine rollout        minutes   antivac nut  tell    vaccines  planting microchips   body"
"416"," fedex sensors  analytics fuel covid vaccine distribution digitaltransformation cc"
"417"," attorney kim foxx stunned   public defenders arranged  coronavirus vaccine  cook county jail ahead   staff"
"418","nut job gop magaq update  wisconsin pharmacist accused  trying  spoil dozens  vials  covid vaccine  facing   prison   agreed tuesday  plead guilty  federal court prosecutors "
"419","nut job gop magaq update  wisconsin pharmacist accused  trying  spoil dozens  vials  covid vaccine  facing   prison   agreed tuesday  plead guilty  federal court prosecutors "
"420","covid volunteers key ingredient  vaccines success abc"
"421"," love seeing selfiestweets  people getting  covid vaccine  brings  hope  feel angry         expected    unsafe conditions    dont  mine   doesnt    joy  feel  seeing    shot"
"422","   vaccine   prevent covid  passing    rush getting  warp speed vaccine"
"423","   anxiety  getting   dose   covid vaccine     surgery  remove  thyroid   cancer ugh"
"424","ive finally  decided   fine     care       cant contract covid im  worried  giving       opportunity    vaccine  means       vaccine    quicker thats fine"
"425","    funds   vaccine    prevention    weapon  covid oh yeah   children  home"
"426","mrna technology     covid vaccines    upend  drug industry"
"427","  rollout  covid vaccines continues  federal trade commission  warning seniors   potential  vaccine scams"
"428","  called     covid vaccine  hopefully ill  getting  tonight"
"429","mill   covid ads      throw  money dont  happy  cut costs   vaccine tho    comes   noting themselves amp  doubt     politicised  skys  limit    lot makes  sense  days  "
"430","wow   warped  mind  mrna technology  destroyed  warped anticovid vaccine mind ill  sharing     people  follow    natural movement    lose  haha"
"431","hollywood actors  covid vaccine scramble   hunger games variety"
"432","      line    absolute   line    covid vaccine   yadda yadda        vaccined despite  true humanity  kindness"
"433","yay getting   covid vaccine shot tomorrow"
"434","  quicker   covid vaccine   cuba   coming  america"
"435","heres  madeincanada coronavirus vaccine starts human clinical trials cbc news  "
"436","   dc government leaders  medical experts     online forum   encourage people  color    covid vaccine   dispel  myths   safety"
"437","  chick    covid vaccine via"
"438","   hard  post  covid bc   ppl  grieving     ppl  soul crushing  im  tired   constant disinformation campaigns  covid vaccine   choose     thats ur choice  dont spread lies pls   save lives"
"439","    fox  tell   moon    green cheese    covid vaccine      toadstool im          telling people "
"440","covid vaccine    record prizer vaccine covid healthcare safe wvumedicine grateful"
"441","covid vaccine    record prizer vaccine covid healthcare safe wvumedicine grateful"
"442"," asheville firefighters opt   covid vaccine"
"443"," cdc    covid vaccines  pregnant women havent  studied clinically  believe  moderna vaccine  unlikely  pose  risk     degraded quickly  normal cellular processes"
"444","  drug  vaccine patents   pharma shares      patent  covid virus  "
"445"," kay bailey hutchison convention center    drivethru vaccines dallas city council      confused  vaccine rollout   rest    "
"446","   vastly improve  covid vaccine efforts     learning       performing    replicating unnecessarily cumbersome inefficient processes  article"
"447"," mum  fired   job  pretty        radio talking   covid vaccine     told   didnt     lose  job ceo probably caught wind  didnt   talking       happened"
"448","business exec   wife charged  flying  remote canadian town   covid vaccine officials "
"449"," people suck"
"450","rodney  ekaterina baker charged  flying  remote canadian town  yukon   covid vaccine officials  cnn"
"451"," teachers  covid vaccine"
"452","covid jamp    confirmed vaccine maker  seek key regulatory approval   allow distribution"
"453","bell county  starting   waitlist    people  chance   covid vaccine"
"454","business exec   wife charged  flying  remote canadian town   covid vaccine officials "
"455","vax queue program helps   covid vaccine doses dont  unused  shelby county"
"456"," paramedic    allegedly helped cover   covid vaccine theft buzzfeed news"
"457"," cant sue pfizer  moderna    severe covid vaccine  effects  government  wont compensate   damages "
"458","iam  private doctor  nandyalkurnool dt   register  covid vaccine"
"459"," publix   sole distribution  covid vaccine  palm beach county concerns  rising       safe    vulnerable  walk   busy super market   shots"
"460"," lyingdeathsantis hijack vaccine doses   rich theres  million discrepancy desantis recently   tuesday  florida  received  million  doses   covid vaccine   federal government"
"461","  disturbs       world  locking    locked   relatively little benefit  doesnt            limiting deaths   covid   vaccine  rolled   suppose     worthy goal"
"462","victoria   zero covid connecting  chain      uk    zero        maybe wont    vaccine  act sooner  lockdown   zero   dont    rule  zero covid "
"463"," mom   covid vaccine"
"464","im calling    pushing  covid vaccine trial  kids    confident start   own kids       goes    "
"465"," youre bored    nextdoor app     covid vaccine guaranteed entertainment"
"466","  read  tweet  started  laugh actually  hold  fool completely responsible   person trump   charge   covid office  lying   nonexistent vaccine"
"467","mohs released photos    covid vaccine administered  myanmar  million doses donated  india arrived friday daw aye mu mu senior nurse  naypyidaw received  vaccine  morning gov   frontline healthworkers gov officials   priority"
"468","grabe ang  effect ng nd dose  covid vaccine   hurtful ha"
"469","dojas performance       brains   couple  germany  create  covid vaccine lt"
"470","madeincanada coronavirus vaccine starts human clinical trials cbc news   hear re canadian company starting clinical trial  deeply troubling  learn fed govt failed  recognize       capacity  home"
"471","vaccine expert  people      covid shot  "
"472"," additional doses      vaccinate nearly  entire  population      summer"
"473","bbgvisualdata  tuesday update   total  million shots administered million shots administered     columns  people vaccinated  amp shots   table  data  available"
"474","city council  answers  questions build  philly fighting covid partnership handling  vaccines"
"475","  difficulty   bitching  finally    covid vaccine waitlist  harris county   family waitlisted    wait"
"476"," cant wait  patti lupone    covid vaccine   norma desmond costume  singing   shot ill ignite  blaze ill return   glory days"
"477","getting answers six covid vaccine pharmacy sites    pima county"
"478","  million doses  covid vaccines  expected   delivered   philippines      start  vaccination rollout  february vaccine czar secretary carlito galvez jr "
"479"," aunt  uncle  covid    regeneron cocktail   told  cant   vaccine    scheduled    vaccine  february   "
"480","vaccine delivery   classic  mile   fix workflow "
"481","day    covid vaccine   feel     hit   bus"
"482","   curiosity  brand  vaccine  biden    trump    covid getting  vaccine  recommended     brand   getting"
"483","covid vaccine rollout simdega jharkhand"
"484","racgp president karen price  australia    advantageous position   comes  understanding covid vaccine efficacy   potential risks  sideeffects  vaccine administration including   elderly  pregnant women"
"485","dont  realise  time  tell          opposite   failed vaccine programme    failed covid safe app"
"486","news update  pandemic task force  authorized  dict  perform actions   procure  services   qualified rd party service provider   management   philippine covid vaccine information management system  malacañang via"
"487","  left  continues trumps covid vaccine plan   succeed donald trump eliminated  common flu   ravaged  country  hundreds    pretty    eliminate covid"
"488","theyre sooo desperate  save  life"
"489"," cant  run  covid vaccine rollout  california     shelf tech "
"490","mark jim     covid booster vaccine"
"491"," biden administration    buy million  covid vaccine doses"
"492","authorities discovered  brandenburg believed   array  conspiracy theories amp notions  alternative history  shared  beliefs  coworkers   medical center    wary  vaccinesespecially  moderna covid vaccine yeshcws   duped "
"493"," stark county schools   list   week covid vaccine distribution  local schools   inperson  hybrid except  brief periods due    quarantined staff  covid outbreak   break   holidays   fall"
"494","pharmacist  plead guilty  ruining hundreds  doses  covid vaccine doj  world news politics"
"495","pharmacist  plead guilty  ruining hundreds  doses  covid vaccine doj "
"496","  time nursing home employees  witness elderly residents dying  hours  days  getting  injections     reluctant  play vaccine roulette"
"497","    seattle venue  visited   shut "
"498","cdc   allocations  im  finding  abut  actual shipments"
"499","covid vaccine doses coming  fl  week  biden administration announced      weeks notice   vaccine supply    receiving florida governor ron desantis   sunshine   ready  "
"500"," commented  johnson amp johnson expects  report covid vaccine results  week"
